date,temperature,humidity,luminosity
2020-12-03 16:06:47.055,15.8,19.5,243
2020-12-03 16:06:44.777,15.8,19.4,242
2020-12-03 16:06:42.500,15.9,19.5,242
2020-12-03 16:06:40.222,15.9,19.5,243
2020-12-03 16:06:37.945,15.8,19.4,242
2020-12-03 16:06:35.668,15.9,19.5,242
2020-12-03 16:06:33.390,15.8,19.4,243
2020-12-03 16:06:31.113,15.9,19.5,242
2020-12-03 16:06:28.836,15.9,19.5,242
2020-12-03 16:06:26.558,15.9,19.5,243
2020-12-03 16:06:24.281,15.9,19.5,242
2020-12-03 16:06:22.004,15.9,19.5,242
2020-12-03 16:06:19.726,15.9,19.5,243
2020-12-03 16:06:17.449,15.9,19.5,242
2020-12-03 16:06:15.172,15.9,19.5,242
2020-12-03 16:06:12.894,15.9,19.5,243
2020-12-03 16:06:10.617,15.9,19.6,242
2020-12-03 16:06:08.340,15.9,19.6,242
2020-12-03 16:06:06.062,15.9,19.6,243
2020-12-03 16:06:03.785,15.9,19.5,243
2020-12-03 16:06:01.508,15.9,19.6,242
2020-12-03 16:05:59.230,15.9,19.5,242
2020-12-03 16:05:56.953,15.9,19.5,242
2020-12-03 16:05:54.675,15.9,19.6,243
2020-12-03 16:05:52.398,15.9,19.6,242
2020-12-03 16:05:50.121,15.9,19.6,243
2020-12-03 16:05:47.843,15.9,19.6,243
2020-12-03 16:05:45.566,15.9,19.6,242
2020-12-03 16:05:43.289,15.9,19.6,243
2020-12-03 16:05:41.011,15.9,19.6,243
2020-12-03 16:05:38.734,15.9,19.6,242
2020-12-03 16:05:36.456,15.9,19.5,242
2020-12-03 16:05:34.179,15.9,19.5,243
2020-12-03 16:05:31.902,15.9,19.5,243
2020-12-03 16:05:29.624,15.9,19.5,242
2020-12-03 16:05:27.347,15.9,19.5,242
2020-12-03 16:05:25.070,15.9,19.5,243
2020-12-03 16:05:22.792,15.9,19.4,243
2020-12-03 16:05:20.515,15.9,19.4,243
2020-12-03 16:05:18.238,15.9,19.4,243
2020-12-03 16:05:15.960,15.9,19.4,242
2020-12-03 16:05:13.683,15.9,19.4,242
2020-12-03 16:05:11.406,15.9,19.4,243
2020-12-03 16:05:09.128,15.9,19.4,243
2020-12-03 16:05:06.851,15.9,19.4,242
2020-12-03 16:05:04.574,15.9,19.4,242
2020-12-03 16:05:02.296,15.9,19.4,242
2020-12-03 16:05:00.019,15.9,19.4,242
2020-12-03 16:04:57.746,15.9,19.3,242
2020-12-03 16:04:55.469,15.9,19.4,243
2020-12-03 16:04:53.191,16.0,19.3,243
2020-12-03 16:04:50.914,15.9,19.3,242
2020-12-03 16:04:48.636,16.0,19.4,242
2020-12-03 16:04:46.359,16.0,19.3,245
2020-12-03 16:04:44.082,15.9,19.3,242
2020-12-03 16:04:41.804,15.9,19.3,242
2020-12-03 16:04:39.527,16.0,19.3,242
2020-12-03 16:04:37.250,16.0,19.3,243
2020-12-03 16:04:34.972,16.0,19.3,242
2020-12-03 16:04:32.695,16.0,19.3,242
2020-12-03 16:04:30.418,16.0,19.3,242
2020-12-03 16:04:28.140,16.0,19.3,242
2020-12-03 16:04:25.863,16.0,19.3,243
2020-12-03 16:04:23.586,16.0,19.3,242
2020-12-03 16:04:21.308,16.0,19.4,242
2020-12-03 16:04:19.035,16.0,19.4,242
2020-12-03 16:04:16.758,16.0,19.4,243
2020-12-03 16:04:14.480,16.0,19.4,243
2020-12-03 16:04:12.203,16.0,19.4,242
2020-12-03 16:04:09.925,16.0,19.4,181
2020-12-03 16:04:07.648,16.0,19.4,243
2020-12-03 16:04:05.371,16.0,19.4,242
2020-12-03 16:04:03.093,16.0,19.4,242
2020-12-03 16:04:00.816,16.0,19.4,242
2020-12-03 16:03:58.539,16.0,19.3,242
2020-12-03 16:03:56.261,16.1,19.4,242
2020-12-03 16:03:53.985,16.1,19.4,243
2020-12-03 16:03:51.707,16.1,19.4,243
2020-12-03 16:03:49.430,16.1,19.4,242
2020-12-03 16:03:47.152,16.1,19.4,242
2020-12-03 16:03:44.875,16.1,19.4,242
2020-12-03 16:03:42.602,16.1,19.4,243
2020-12-03 16:03:40.324,16.1,19.4,243
2020-12-03 16:03:38.047,16.0,19.3,243
2020-12-03 16:03:35.770,16.1,19.4,242
2020-12-03 16:03:33.492,16.1,19.3,242
2020-12-03 16:03:31.215,16.1,19.3,242
2020-12-03 16:03:28.938,16.1,19.3,242
2020-12-03 16:03:26.660,16.1,19.3,242
2020-12-03 16:03:24.383,16.1,19.3,242
2020-12-03 16:03:22.106,16.1,19.3,242
2020-12-03 16:03:19.828,16.1,19.3,242
2020-12-03 16:03:17.551,16.1,19.3,242
2020-12-03 16:03:15.274,16.1,19.3,243
2020-12-03 16:03:12.996,16.1,19.3,242
2020-12-03 16:03:10.719,16.1,19.3,242
2020-12-03 16:03:08.442,16.1,19.3,243
2020-12-03 16:03:06.164,16.1,19.3,242
2020-12-03 16:03:03.887,16.2,19.3,242
2020-12-03 16:03:01.614,16.2,19.3,242
2020-12-03 16:02:59.336,16.2,19.2,242
2020-12-03 16:02:57.059,16.2,19.2,243
2020-12-03 16:02:54.782,16.2,19.2,243
2020-12-03 16:02:52.504,16.2,19.2,242
2020-12-03 16:02:50.226,16.2,19.2,242
2020-12-03 16:02:47.949,16.2,19.3,242
2020-12-03 16:02:45.672,16.2,19.3,243
2020-12-03 16:02:43.394,16.2,19.3,245
2020-12-03 16:02:41.117,16.2,19.3,243
2020-12-03 16:02:38.840,16.2,19.3,242
2020-12-03 16:02:36.562,16.2,19.4,242
2020-12-03 16:02:34.285,16.2,19.4,243
2020-12-03 16:02:32.008,16.2,19.4,245
2020-12-03 16:02:29.730,16.3,19.5,243
2020-12-03 16:02:27.453,16.3,19.5,243
2020-12-03 16:02:25.175,16.3,19.5,243
2020-12-03 16:02:22.898,16.3,19.5,243
2020-12-03 16:02:20.621,16.3,19.5,245
2020-12-03 16:02:18.343,16.3,19.6,243
2020-12-03 16:02:16.066,16.3,19.6,242
2020-12-03 16:02:13.789,16.3,19.6,242
2020-12-03 16:02:11.515,16.3,19.6,242
2020-12-03 16:02:09.238,16.4,19.7,243
2020-12-03 16:02:06.961,16.3,19.7,243
2020-12-03 16:02:04.683,16.3,19.7,242
2020-12-03 16:02:02.406,16.3,19.7,242
2020-12-03 16:02:00.129,16.4,19.7,243
2020-12-03 16:01:57.851,16.4,19.7,243
2020-12-03 16:01:55.574,16.4,19.7,242
2020-12-03 16:01:53.297,16.4,19.8,242
2020-12-03 16:01:51.019,16.4,19.8,242
2020-12-03 16:01:48.742,16.4,19.8,243
2020-12-03 16:01:46.465,16.4,19.9,243
2020-12-03 16:01:44.187,16.4,19.9,242
2020-12-03 16:01:41.910,16.4,19.9,242
2020-12-03 16:01:39.633,16.4,19.9,243
2020-12-03 16:01:37.355,16.4,19.9,242
2020-12-03 16:01:35.078,16.4,19.9,242
2020-12-03 16:01:32.800,16.4,19.9,242
2020-12-03 16:01:30.523,16.4,19.9,242
2020-12-03 16:01:28.246,16.4,20.0,242
2020-12-03 16:01:25.968,16.4,20.0,242
2020-12-03 16:01:23.691,16.4,20.0,243
2020-12-03 16:01:21.414,16.4,20.0,242
2020-12-03 16:01:19.136,16.4,20.0,242
2020-12-03 16:01:16.859,16.4,20.0,243
2020-12-03 16:01:14.582,16.5,20.1,242
2020-12-03 16:01:12.304,16.4,20.1,242
